,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,URL,,,Naming,,,,,,,,Body & Dimensions,,,,,,,,,,,,,,Engine,,,,,,,,,,,,,,,,Drivetrain,,,,,,,,Transmission,,,,,,,,,,,,
,URL model,URL version,Full name,Make,Model,Version,Date of launch,Year of launch,MSRP (yen),Country of origin,Image URL,Body Type,Doors,Riding Capacity,Model Code,Overall Length (mm),Overall Width (mm),Overall Height (mm),Wheelbase (mm),Tread Front (mm),Tread Rear (mm),Interior Length (mm),Interior Width (mm),Interior Height (mm),Weight (kg),Engine Model,Cylinders,Maximum Power (ps),Maximum Power (kW),Maximum Power (rpm),Maximum Torque (kgm),Maximum Torque (Nm),Maximum Torque (rpm),Displacement (cc),Bore (mm),Stroke (mm),Compression Ratio,Charger,Fuel Supply Equipment,Fuel Tank Equipment (L),Fuel Type,Steering System,Minimum Turning Radius,Suspension System (front),Suspension System (rear),Braking System (front),Braking System (rear),Tires Size (front),Tires Size (rear),Driving Wheel,Transmission,LSD,1st Gear,2nd Gear,3rd Gear,4th Gear,5th Gear,6th Gear,7th Gear,8th Gear,Reverse,Final Drive Gear Ratio
,6,1736,1736,1736,1736,1736,1725,1725,1736,1736,1725,1736,1736,1736,1733,1736,1736,1736,1734,1709,1709,448,459,448,1698,1658,0,1736,1725,1735,1736,1725,723,1736,609,609,1464,0,0,1716,0,0,1695,0,0,0,0,1731,1731,1455,1671,0,1437,1437,1437,1437,1175,988,838,816,1437,1502
,0%,100%,100%,100%,100%,100%,99%,99%,100%,100%,99%,100%,100%,100%,100%,100%,100%,100%,100%,98%,98%,26%,26%,26%,98%,96%,0%,100%,99%,100%,100%,99%,42%,100%,35%,35%,84%,0%,0%,99%,0%,0%,98%,0%,0%,0%,0%,100%,100%,84%,96%,0%,83%,83%,83%,83%,68%,57%,48%,47%,83%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Japan Car Database - versions table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Compiled in Excel by Teoalida © cardatabase.teoalida.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,This database include ONLY car models sold in Japanese domestic market (including foreign models sold here) and target people from Japan as well as people from LHD countries in Asia and Africa who import used cars from Japan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"This database does NOT include car models made in Japan exclusively for export, for example Acura and Infiniti (Japanese brands aimed primarily for US market but sold also in Europe and Middle East). For these cars you can buy one of the American databases from same website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
